col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
1,1,518476,,70,30,2,1,3,1,5,3,2,3,3,,,1,44.00,7.00,2,1.30,1,1,6455,0,0,1
2,1,518476,38.2,44,51,3,1,2,2,3,3,4,1,1,,,5,31.50,9.10,,,1,2,8390,0,0,2
2,1,5305629,40.30,124,,1,1,4,,1,1,,1,1,,,4,56,7.20,1,4.80,2,2,4726,0,0,2
2,1,518476,37.60,96,20,4,1,1,1,1,3,3,3,,,,5,42,8.00,,,1,2,887,0,0,2
1,9,518476,38.20,56,20,4,,1,1,4,3,2,,1,,3,1,43.00,51,1,1.50,1,1,2357,0,0,1
1,1,518476,38.6,,90,,,1,1,1,,1,2,,,4,5,75.00,8.10,,,1,1,1607,0,0,2
1,1,518476,,48,24,3,,2,1,3,3,2,1,1,,3,,45.00,7.20,1,,1,1,3236,0,0,1
1,1,518476,38.5,54,12,1,1,1,,2,4,1,,1,,4,,42,3.30,,,2,1,4544,0,0,2
1,1,5305629,,38,36,4,1,,1,3,,,2,1,4.30,,4,44.00,8.00,2,,3,2,4830,0,0,1
1,1,518476,38.30,36,26,3,1,,2,,3,2,2,1,7.00,2,2,41.00,,,,2,1,7452,0,0,2
2,1,518476,37.8,68,40,3,,1,2,2,1,3,,1,,1,5,24.00,6.60,,,1,2,1341,0,0,2
1,1,518476,38.60,66,32,3,3,,,5,1,2,,,,4,,47.00,67,,,1,1,6648,0,0,1
2,1,518476,,150,36,1,1,,1,,3,,,1,,3,5,,7.00,3,2,1,1,1633,0,0,1
1,1,518476,,48,30,,3,1,1,3,3,2,1,2,,,4,50,6.70,,1.30,2,1,4935,0,0,2
1,1,518476,37.70,70,,3,1,2,1,5,4,4,2,1,,4,,42.00,61,,,3,2,3239,0,0,2
2,1,518476,,72,24,4,1,,,,1,3,1,,,,,45.00,7.00,,,1,2,351,0,0,1
1,1,518476,39.30,48,35,1,1,3,,5,3,4,2,,,4,5,37.50,51,,,1,2,1261,0,0,2
2,1,518476,37.50,40,30,3,,1,1,1,4,3,2,,,1,5,46,8.00,2,,1,1,3971,0,0,2
1,1,518476,38.90,,20,3,1,4,1,1,,1,2,1,,4,4,55.00,65,1,3.20,3,2,5533,0,0,1
2,1,518476,38.1,56,30,3,4,3,1,,4,3,,2,,4,4,44.00,7.00,2,,1,2,3205,0,0,2
1,1,518476,37.60,42,36,2,1,6,2,2,4,2,,,,,3,31.00,8.00,1,2.60,1,2,4367,0,0,1
1,1,5305629,38.5,40,,,,2,2,1,3,,1,1,,4,1,64.00,6.10,1,2,2,1,12878,0,0,1
1,1,518476,39.00,64,16,1,1,,1,4,1,4,,,,,,30.00,4.70,3,2,1,2,6282,0,0,2
1,1,518476,39.50,56,,1,1,1,2,,3,2,,,,2,5,36.00,66,,,1,1,4409,0,0,2
1,1,518476,,40,,3,3,1,2,1,3,3,,1,,,5,,7.20,,,2,1,23753,0,0,2
1,1,518476,,52,,2,3,1,2,5,4,3,3,3,,4,,58,7.70,,3.60,2,2,4412,0,0,2
2,1,518476,39.10,100,16,3,4,1,2,5,3,2,2,,,,4,44.00,7.60,,,3,2,4784,0,0,2
2,1,518476,36.00,86,42,2,1,2,,2,3,3,,,,2,,63.00,66,,,1,2,1625,0,0,2
2,1,518476,38.60,,,,1,3,1,1,3,2,1,1,,,4,39,6.60,,,1,2,348,0,0,2
1,1,518476,37.1,60,36,2,3,4,,1,3,3,,,5.30,4,,33,7.80,,,3,1,11812,0,0,2
2,1,518476,38.40,80,,4,3,1,2,,4,1,1,1,,,5,24.00,8.10,,,2,1,2626,0,0,1
1,1,518476,37.8,42,16,3,,2,1,2,3,3,2,1,,3,1,,7.80,,1.00,2,1,5441,0,0,2
1,1,518476,37.9,40,,1,1,5,2,1,2,3,2,,,4,,39.00,5.50,2,5.30,1,2,4441,0,0,1
1,1,518476,37.40,96,,1,3,,1,1,1,1,,,,,5,46,4.50,,,1,2,9522,0,0,1
2,1,518476,37.3,90,16,3,3,,1,2,,,,1,5.30,,5,65,7.60,,,2,1,2810,0,0,2
1,1,518476,37.60,,42,1,1,1,2,,,4,2,,,3,1,35,58,,,1,2,6782,0,0,2
2,9,5305629,,66,,3,,3,1,3,4,3,2,3,,4,5,,6.50,,,1,2,2312,0,0,2
1,1,518476,38.40,40,20,3,1,1,1,1,,1,,1,,4,3,35.00,61,,,1,2,521,0,0,2
1,1,518476,38.2,40,20,1,3,2,1,2,4,2,,,,1,,64.00,8.50,2,,3,2,1946,0,0,2
1,1,518476,39.5,100,20,3,1,,1,1,,1,,,,4,,58.00,13,,,2,1,548,0,0,2
2,1,518476,38.20,72,48,2,3,3,2,3,4,1,3,1,,,,37.00,7.20,1,,2,1,8033,0,0,1
2,1,518476,39.50,60,12,2,,4,1,2,3,,2,2,,4,,46.00,7.80,3,2.80,3,2,1764,0,0,1
1,1,518476,38.5,128,30,1,,1,1,4,,3,,1,4.00,,5,47.00,8.60,,1.00,1,1,4528,0,0,2
2,1,518476,38.7,40,,3,,1,1,3,,3,1,,,,5,43,6.10,,1,1,1,4465,0,0,2
2,9,5305629,38.60,52,12,1,3,1,,1,,,,1,,,,42.00,62,1,3.90,1,2,721,0,0,1
1,1,518476,39.30,64,50,,1,2,2,4,3,2,2,3,,,3,65.00,7.50,,,1,2,3234,0,0,2
2,1,518476,38.50,48,35,3,1,3,1,,3,3,1,,,4,5,51,81,2,,3,1,2581,0,0,2
1,1,518476,,48,28,,3,1,1,,3,2,2,2,,,,36.00,6.50,,1,2,1,4771,0,0,1
1,9,518476,37.8,,12,1,3,3,,2,1,1,,,,,1,43,6.20,,3.90,1,2,4072,0,0,2
2,9,518476,,120,32,1,1,3,1,2,3,,1,2,,,5,58.00,7.0,,2,1,1,1609,3112,0,1
1,1,518476,37.30,54,24,3,1,3,3,1,1,,,2,,,5,38.00,74,,,1,1,2798,0,0,2
2,1,518476,,84,36,3,3,5,2,2,4,1,2,1,6.50,4,5,36.00,7.50,,,2,1,6106,0,0,2
1,1,5305629,38.60,96,28,,3,4,1,4,4,1,,,,,5,,7.20,,2,3,1,7764,0,0,2
1,1,518476,37.20,44,32,1,1,5,1,5,,3,2,3,5.40,1,4,65.00,10.2,,,3,1,4119,0,0,2
1,1,518476,37.20,,20,2,3,1,1,3,2,3,,1,,1,,44.00,7.50,,,1,1,8582,0,0,2
2,1,518476,38.50,72,,2,3,1,2,,3,1,,,,,5,45.00,8.40,,,2,1,9632,0,0,2
1,1,5305629,38.30,60,,3,,,1,3,,1,,,,,2,48.00,6.80,,,1,1,1595,0,0,2
1,1,518476,38.50,60,36,2,1,4,1,3,3,,,2,,1,5,43.00,,,4.10,1,1,5197,0,0,2
2,1,518476,38.7,92,80,1,1,4,,3,3,,1,,,4,4,41,,2,,1,2,1447,0,0,2
2,1,518476,38.30,108,12,2,2,6,1,4,1,,1,3,,3,5,64.00,7.00,,1,1,1,2104,0,0,1
2,1,518476,38.0,60,,3,3,1,1,5,,1,,,,4,5,42,5.50,1,3.30,1,2,597,0,0,1
2,1,518476,37.40,48,70,4,1,2,1,1,1,4,,2,5.00,,5,43,6.50,,,1,2,572,0,0,1
1,1,518476,38.0,100,9,,,5,1,3,1,2,,1,,3,5,36.00,56,,,1,2,5918,0,0,2
1,1,518476,39.2,40,16,,3,5,1,2,4,3,1,,,1,5,46.00,6.20,1,1,1,1,5625,0,0,2
1,1,518476,39.20,60,,1,3,3,1,2,3,,,,,4,,57.00,4.90,,3.60,2,1,8587,0,0,1
2,9,518476,38.20,60,36,,,1,2,1,,1,2,3,,,,,76,,,1,1,4340,3111,0,2
2,1,518476,39.40,60,20,1,3,,1,3,2,1,,,,,,38,8.10,,2,1,2,2545,0,0,2
1,1,5305629,,68,36,3,1,3,2,,4,4,3,1,7.00,,,37,,,,2,1,8467,0,0,1
2,1,5305629,38.50,48,,3,,2,2,5,3,1,,2,4.00,,5,50,6.10,1,5.00,2,1,13115,0,0,1
1,1,518476,38.30,40,20,1,1,6,1,,3,2,,,,1,4,43.00,6.80,,,1,1,5274,0,0,2
1,1,518476,,60,,4,3,3,2,3,3,1,1,,,,4,56,,2,5.00,2,1,6481,0,0,1
2,1,518476,38.0,98,,4,,1,1,,3,3,2,1,,3,1,37,6.50,2,,1,2,10190,0,0,2
2,1,518476,38.90,,,4,3,,1,5,3,,2,3,,4,,43,72,,,2,2,894,0,0,2
1,1,518476,39.50,36,,2,1,1,1,3,4,3,,1,7.00,3,,47,9.00,,,1,1,6102,0,0,2
1,1,518476,,60,20,4,1,3,1,4,3,,2,,,1,5,44.00,9.10,2,,1,1,5281,0,0,2
1,9,518476,36.50,48,,1,3,1,,2,1,1,,,,3,,50,8.40,,,2,1,2974,0,0,2
1,1,5305629,37.60,52,,4,3,4,2,1,3,3,3,3,,4,5,46.00,5.90,1,,2,1,5621,0,0,2
2,1,5305629,38.30,48,48,1,1,3,1,2,,3,2,1,2,,3,54.00,7.50,,,2,1,3434,0,0,2
2,1,518476,38.10,60,,,3,5,1,3,4,4,,1,,1,5,37.00,6.00,1,,1,2,467,0,0,2
2,1,518476,36.80,54,72,3,1,3,1,4,2,4,1,,,2,5,40.00,7.70,2,2.80,1,1,2021,0,0,2
1,1,518476,38.0,,20,3,,,1,4,3,2,,1,,,5,43.00,7.50,,3.40,2,1,8475,0,0,1
1,1,518476,38.7,128,16,3,3,6,2,,3,,2,3,,4,5,47.00,6.60,1,,2,1,8871,0,0,2
1,1,518476,38.7,54,16,,3,6,2,3,3,1,2,3,6.50,1,,42.00,67,,,1,1,2276,0,0,2
2,1,518476,37.80,184,9,,1,1,1,5,3,1,2,1,6.50,3,5,39.00,50,,,1,2,936,0,0,2
1,1,518476,38.2,88,,3,1,1,1,2,3,1,2,1,,4,2,45.00,6.50,2,1,1,1,2060,0,0,2
2,1,518476,37.20,,,3,1,4,1,3,3,1,1,3,7.00,1,5,43.00,6.50,,,1,2,4844,0,0,1
1,1,5305629,38.8,68,18,1,1,4,1,5,1,4,3,1,,,4,36.00,8.30,1,,1,1,15595,0,0,2
1,1,518476,37.5,42,,3,1,6,1,3,3,2,3,1,,1,5,35.00,6.60,,,1,2,4876,0,0,2
2,1,518476,39.20,48,,1,1,1,1,,1,1,2,3,,4,4,46.00,7.20,,4.10,1,1,3835,0,0,2
2,1,518476,38.5,44,12,1,3,1,1,1,1,2,1,,,4,5,36.00,6.40,,,2,2,3649,0,0,1
1,1,518476,37.50,,,1,3,1,1,5,4,2,3,1,7.50,3,4,36.00,7.40,,,1,1,19553,0,0,2
2,1,518476,,50,51,,,,1,,,1,3,3,,,,48.00,,3,2,1,1,1951,0,0,2
2,1,518476,38.30,104,,3,1,5,2,1,1,4,3,3,,4,3,,6.70,,,2,1,1174,0,0,2
1,9,518476,37.50,100,88,3,3,4,2,4,3,,,,,2,5,55,61,,,2,1,12892,6112,0,1
1,1,518476,38.30,44,32,3,3,1,2,5,4,2,,,7.00,4,,67,64,2,,1,1,3902,0,0,2
2,1,518476,,84,40,1,3,1,1,,3,4,2,1,,,,39.00,6.00,,,1,2,1081,0,0,2
2,1,518476,38.80,72,12,1,3,3,1,4,,3,2,1,,,1,48.00,7.00,1,5.00,1,2,6566,0,0,1
1,9,518476,,80,30,4,,1,1,,1,4,1,1,,,,43.00,6.70,,,1,1,7389,0,0,1
2,1,518476,37.40,52,70,1,,6,1,2,4,1,,,,,,42,56,,,2,2,6861,0,0,2
2,9,518476,38.3,96,,,2,2,1,3,2,,1,,,,,41,7.00,1,,1,2,1618,0,0,2
1,1,518476,38.6,72,20,,3,6,,4,3,3,2,,,1,5,60.00,5.30,,,3,2,8782,0,0,1
2,1,518476,37.20,,30,,3,3,1,5,4,2,3,1,,1,5,42,7.40,,,1,2,5656,0,0,1
2,1,518476,37.60,56,10,,1,4,1,3,4,1,2,,,,,72.00,6.10,,,1,2,7395,0,0,2
1,1,518476,38.50,44,24,3,,1,1,2,,,,1,,4,,45.00,80,2,,1,1,1725,0,0,2
2,9,518476,38.00,,84,3,1,4,1,2,3,1,1,,,3,3,57.00,55,,4.10,1,2,902,0,0,2
1,1,518476,37.80,72,,1,1,1,1,3,4,1,1,,,1,5,,81,3,1,1,1,6909,0,0,1
1,9,518476,39.20,124,12,2,1,2,1,1,3,3,,1,,1,5,42,5.90,2,,3,2,3185,0,0,2
1,1,518476,38.00,60,,1,1,,1,1,,1,,1,2,3,,35.00,5.70,,,3,2,212,0,0,2
2,1,518476,,,28,2,1,4,1,4,3,2,2,1,,4,4,41,7.00,,,2,1,349,0,0,2
2,1,518476,37.80,84,18,4,3,4,1,,4,,,1,,,5,44.00,7.40,,2,1,2,2512,0,0,2
1,1,518476,39.50,49,60,1,,,1,2,3,3,2,1,,1,4,,6.40,3,2.50,2,1,6554,0,0,1
1,1,518476,38.00,48,60,3,1,3,1,1,1,2,2,1,,,,56,6.80,2,1,1,1,4051,0,0,2
1,1,5305629,38.60,90,,,,3,,2,4,1,,,,4,3,,61,3,,3,1,12908,0,0,2
2,1,518476,,42,,3,1,3,1,5,3,3,2,1,,4,,37.00,70,,,2,1,6769,0,0,2
2,9,518476,38.2,40,14,3,3,5,2,2,1,1,,,2,3,5,51,7.80,,,3,1,5787,0,0,2
1,9,518476,38.60,42,40,,1,3,2,2,3,2,1,2,,4,5,50,8.50,1,7.00,3,1,2795,0,0,1
1,1,518476,38.0,72,20,2,3,1,1,1,3,3,,2,,2,2,32.00,60,2,,1,1,2679,0,0,2
1,9,518476,38.7,100,24,3,,3,1,5,4,,,1,,3,,36,58,2,,1,2,3949,0,0,2
2,1,518476,37.50,42,84,2,3,6,1,1,3,,,3,,,,36.00,65,,2.80,1,2,815,0,0,1
1,1,518476,38.20,120,30,3,3,3,2,2,4,,2,,,1,2,50,6.60,,1,2,2,931,0,0,2
1,1,518476,38.1,66,24,1,4,4,1,2,2,1,1,1,,,5,42.00,6.30,,1,1,1,6530,0,0,2
2,1,518476,37.8,114,34,4,3,3,1,,3,1,1,2,,3,,,7.60,,,1,1,6169,0,0,1
1,1,518476,,124,16,3,4,3,,2,4,4,2,3,,1,4,,75,3,,1,1,15717,0,0,1
2,1,518476,38.40,64,30,4,,1,1,1,1,1,,2,,,,33.00,6.40,,,1,1,9825,0,0,2
1,9,5305629,,48,60,1,3,4,1,1,,,,,,,,57.00,,3,,2,2,2232,0,0,2
1,1,518476,38.50,164,36,3,1,2,2,2,3,4,2,1,,4,,41.00,7.00,2,,1,1,3100,0,0,2
2,1,518476,37.9,68,,1,1,6,2,2,4,4,,,,3,,52.00,64,3,6.60,2,1,452,0,0,1
2,9,5305629,,184,12,1,1,1,1,4,1,,2,2,7.00,,5,,60,1,5.20,1,2,3792,0,0,2
1,1,518476,,92,20,3,3,1,2,,4,2,1,3,,4,,,7.50,1,2,1,2,1619,0,0,1
1,1,518476,37.80,78,24,2,1,3,1,,4,1,2,1,,1,,55,7.80,1,2.80,1,1,10210,0,0,2
2,1,518476,40.00,68,68,3,3,3,1,1,3,3,1,3,7.50,4,4,48,58,1,4.80,1,1,4973,0,0,1
2,1,5305629,38.3,48,12,3,3,,1,5,4,3,3,2,4.00,4,4,39.00,6.30,,5.00,2,2,7801,0,0,2
2,1,518476,38.20,120,42,1,1,1,2,3,3,4,,,,,4,24.00,6.80,,,3,1,493,0,0,2
2,1,518476,39.10,132,28,3,1,,1,,1,1,,2,,4,5,33.00,6.50,,,1,1,2447,0,0,2
1,1,518476,38.00,56,,1,1,2,1,3,,,,1,,,,41.00,9.00,,,1,1,8080,0,0,2
1,1,518476,38.40,56,,,,3,2,4,3,,2,2,,,5,50,,,,1,2,3250,0,0,2
2,1,518476,38.20,50,30,2,1,4,1,2,2,3,,,4.00,1,2,40.00,,,,1,1,6455,0,0,1
1,1,518476,39.10,130,24,3,1,1,1,1,3,1,2,1,,4,5,55,85,,,3,1,6895,0,0,2
1,1,518476,38.40,48,44,1,3,5,1,2,,2,,1,,2,,42,7.90,,,1,2,5306,0,0,2
1,1,518476,37.80,48,24,,3,3,2,3,3,2,1,2,,,,53.00,7.50,,1.40,2,1,1213,0,0,2
2,1,518476,,46,40,3,3,4,1,2,3,3,,3,,,,40.00,6.50,2,,3,1,11910,0,0,2
2,1,518476,38,84,30,1,1,6,1,,3,2,2,,,4,5,34,6.10,,2.60,2,1,4418,0,0,2
1,1,518476,38.7,56,16,3,1,4,1,1,3,4,1,3,7.50,3,5,,76,2,2,2,1,1751,0,0,2
1,1,518476,38.2,88,20,1,,1,2,,,4,,1,5.50,4,1,44.00,,,,3,2,2142,0,0,1
1,9,5305629,39.10,68,30,3,1,1,1,3,4,3,3,1,6.50,3,,45.00,6.50,,,2,1,10671,0,0,2
1,1,518476,39.40,54,40,4,1,2,1,5,3,2,2,1,7.00,4,,41.00,6.60,1,10.10,1,1,5305,0,0,2
2,1,518476,37.20,104,,3,3,6,1,1,4,3,1,1,,1,5,40.00,7.00,,,1,2,9551,0,0,2
2,1,5305629,,60,28,2,3,1,1,3,2,,2,,5.00,,3,45.00,7.00,,,2,2,1006,0,0,2
1,1,518476,37.9,120,,2,3,4,2,5,4,2,1,3,,1,5,42.00,77,3,,1,1,3381,0,0,2
2,1,518476,38.2,40,12,1,1,1,1,,2,,,1,,,5,70.00,81,,,1,2,4182,0,0,2
2,1,518476,38.2,40,24,,3,3,1,3,3,,2,1,3.00,,5,50,68,3,5.00,1,1,14889,0,0,1
2,1,518476,38,60,20,3,1,1,1,,3,1,,,,,5,50.00,8.60,3,1,2,2,2568,0,0,2
1,1,518476,39.00,120,22,3,1,3,1,2,4,2,,3,,4,5,65,6.80,3,,1,2,4922,0,0,2
1,1,518476,,60,,1,1,5,2,2,4,,1,3,,,3,37.00,7.70,3,7.00,1,2,11596,0,0,2
1,1,518476,38.60,46,88,3,3,4,,2,3,3,2,,,4,,,64,,2,2,1,7985,0,0,2
2,1,518476,,52,,3,1,3,1,,3,1,,,7.00,,1,,6.50,2,,1,2,2214,0,0,1
1,1,518476,38.40,42,40,3,,1,1,2,2,2,3,3,7.50,,,38,,1,,1,1,16102,0,0,1
1,1,518476,37.50,84,,1,3,3,,3,3,3,2,1,,,,38,8.90,,2,1,1,3499,0,0,2
1,1,518476,38.1,130,30,2,,1,2,,4,1,,2,5.00,3,,42.00,8.7,,,1,1,3845,0,0,2
2,9,518476,38.5,88,24,2,3,,1,2,3,1,,,,,1,50.00,65,1,1,2,1,6725,0,0,1
1,1,518476,37.8,86,30,1,1,3,1,3,3,,,1,,2,,50,7.50,,,2,1,6852,0,0,2
2,1,5305629,38.40,,,,1,1,2,4,2,1,2,3,,1,,48.00,5.50,,,2,1,1878,0,0,2
2,1,518476,38.30,76,40,3,4,4,2,4,1,2,2,1,7.50,1,4,57,7.00,1,,1,2,410,0,0,2
1,1,518476,37.5,108,32,1,1,2,1,4,1,1,2,1,,1,5,43.00,8.60,,,2,1,3094,0,0,2
1,9,518476,,72,,4,1,1,1,4,3,2,1,,,1,,,7.50,2,,1,1,2811,0,0,2
1,1,518476,40.30,42,,3,,2,2,3,4,1,2,1,,4,,40.00,56,1,,1,1,4820,0,0,1
2,1,518476,38.90,48,12,2,1,3,1,4,1,1,,,,,,55.00,8.90,,,1,2,171,0,0,2
1,1,518476,,80,20,2,1,4,1,,3,1,,,4.30,3,,48,,1,3.00,1,2,4674,0,0,1
1,1,5305629,,48,32,1,,4,,4,1,3,2,,,1,5,37.00,8.30,,,1,1,4886,0,0,2
2,1,518476,,104,,2,1,2,2,4,3,,1,,,3,,41.00,6.20,,1.00,1,2,107,0,0,1
1,1,518476,38.10,140,24,4,,4,1,2,3,1,1,3,,,,36,5.80,,,3,2,4278,0,0,2
1,1,5305629,38.60,40,12,1,1,,1,3,3,3,3,1,,4,4,50.00,,3,2,2,1,13717,0,0,2
1,1,518476,37.8,54,20,3,1,1,1,4,3,1,,2,,,1,34,75,,3.20,1,1,4376,0,0,2
1,1,518476,39.20,84,,1,3,5,1,4,,2,,1,6.50,,2,26,6.60,2,,3,1,9097,0,0,1
2,9,518476,37.50,66,,3,1,,3,5,2,3,,,,4,4,54.00,11.00,,,1,2,1055,0,0,2
1,9,518476,,52,16,3,,,1,3,,1,,,,,,38.00,6.60,,,2,1,3198,0,0,2
2,1,518476,,42,42,,,,,5,4,1,2,1,,,,55.00,7.50,,,1,2,5569,0,0,1
1,9,5305629,,60,36,3,1,5,1,3,2,2,,,,,,44,69,,,2,2,3068,0,0,1
2,1,518476,38.60,,32,3,3,3,2,5,3,3,2,3,3.00,,,,65,1,,2,2,1508,0,0,1
2,1,518476,,104,24,3,1,2,1,2,3,1,,1,,,5,37.00,6.00,,2.30,1,2,2393,0,0,2
2,1,518476,38.7,56,16,3,3,6,1,2,4,4,2,3,,3,3,50.00,6.60,1,,1,1,8565,0,0,1
1,1,518476,38.50,60,20,,3,1,1,4,3,1,,3,,1,,38.00,7.00,2,,3,2,822,0,0,2
1,1,518476,39.00,120,,3,3,4,2,5,4,2,2,2,,,4,46.00,8.10,1,3.30,2,1,5070,0,0,1
2,1,5305629,38.20,42,,1,1,6,3,1,2,3,,,,,4,42.00,62,2,,1,1,1608,0,0,2
2,1,518476,38.80,112,,1,,6,2,2,4,2,1,1,7.00,3,,33,7.00,2,1.50,2,2,2916,0,0,1
1,9,518476,37.80,60,12,2,1,6,1,,3,1,,,,1,2,23.00,53,1,1,1,2,1955,0,0,2
1,1,518476,,48,16,,3,,1,3,4,1,2,,,1,5,49.00,6.60,2,,2,1,4107,0,0,2
1,1,518476,40.00,60,14,3,,4,1,2,4,,,,,4,,34.00,60,,,2,2,3818,0,0,1
1,9,518476,37.20,96,36,3,1,5,3,,,1,1,,,,4,,7.20,,,3,2,1269,0,0,1
1,1,5305629,37.30,124,48,3,3,1,1,2,,1,2,1,3.50,,4,37,8.10,1,,1,1,16113,0,0,1
1,1,518476,37.70,76,32,4,3,3,1,5,4,2,,1,6.20,1,5,42.00,5.80,,,2,1,3972,0,0,2
1,9,518476,,,,1,1,4,1,2,,2,,1,,1,5,53.00,58,2,,2,1,2572,0,0,2
1,1,518476,,100,24,3,,2,1,4,3,2,1,3,,1,5,66.00,6.50,,,2,1,8576,0,0,2
1,1,518476,,,,3,1,3,1,2,3,,2,,,4,5,47.00,6.60,,2,1,2,471,0,0,2
1,1,518476,39.4,42,12,4,3,5,1,,4,,1,1,5.00,3,1,36.00,5.70,,2,1,1,4215,0,0,2
1,1,518476,38.10,66,,2,3,1,1,1,1,3,3,1,,3,,59.00,81,3,1,1,2,30,0,0,2
1,1,518476,,48,40,3,,3,2,3,3,4,2,,,3,5,45.00,6.70,,3.90,2,1,15688,0,0,2
2,1,518476,37.7,80,21,3,,5,1,,3,,3,3,5.40,3,1,52,7.60,3,2,1,1,2310,0,0,1
1,1,518476,,48,,4,,4,2,2,4,4,,2,6.50,,5,52,5.50,,4.70,3,1,4591,0,0,2
1,1,518476,38.3,,16,3,1,1,1,3,3,,,1,5.00,2,2,52.00,7.40,,3.90,1,1,1700,0,0,2
1,1,518476,37.8,100,20,1,2,1,2,1,3,4,2,1,4.50,2,3,54.00,,2,,1,2,1588,0,0,2
1,1,518476,38.1,60,72,,,3,1,,1,3,3,1,,3,2,68.00,6.00,1,1,3,2,6040,0,0,2
2,1,518476,37.60,120,,,1,1,1,4,,1,2,,,1,3,,6.30,,1,1,1,3625,0,0,2
2,1,518476,,48,18,,1,1,1,4,,2,3,,,,,41,64,,,1,1,6310,0,0,2
2,1,518476,38.5,72,28,3,,3,2,,3,2,2,1,4.00,4,5,58.00,50,2,,2,2,2346,0,0,1
2,1,518476,,72,20,3,3,1,1,1,3,3,1,,,,1,46.00,8.40,,,2,2,1191,0,0,2
1,1,518476,38.5,100,40,3,3,1,2,2,4,1,,3,,4,2,31,11.00,1,2,1,1,7646,0,0,1
1,1,518476,,78,36,1,,4,1,1,3,2,2,3,5.00,4,5,40.00,8.7,,2,1,1,1835,0,0,1
1,1,518476,37.80,100,68,1,3,2,1,2,4,2,3,1,5.50,4,,36.00,,1,3.40,1,2,4948,0,0,1
2,1,5305629,37.80,60,16,3,,,1,,3,,1,2,,1,,45.00,,2,,1,2,1977,0,0,2
1,1,518476,37.7,52,48,3,3,6,1,2,3,3,3,3,,1,5,45.00,65,,,2,1,6564,0,0,2
2,1,518476,,52,,4,1,3,1,2,4,4,,3,,1,5,63.00,56,,,1,1,5148,0,0,2
1,1,518476,37.80,64,,,,,1,5,3,,2,1,,3,4,40.00,6.10,1,,3,1,2850,0,0,2
2,1,518476,39.40,60,36,1,4,2,1,4,3,4,2,3,,3,5,52,6.80,,,1,1,2029,0,0,2
2,1,518476,36.50,84,18,4,4,3,,2,1,1,,,4.00,4,3,37.50,7.10,1,,1,2,1559,0,0,2
2,1,518476,37.50,40,20,1,1,2,1,,3,2,,1,,4,,48,57,,,1,1,387,0,0,1
1,1,518476,38.20,56,,4,1,4,,1,4,1,,,,4,,50,61,3,,1,1,1626,0,0,2
2,1,518476,38.1,100,,1,3,3,1,3,3,2,2,1,,1,,60.00,61,,5.30,3,2,3639,0,0,1
2,1,518476,38.40,48,16,4,1,1,,2,4,,2,1,,,,57.00,89,,,1,2,1522,0,0,2
2,1,518476,37.5,86,40,3,1,4,1,2,3,2,,3,5.50,,5,47.00,77,,,2,2,7470,0,0,1
1,1,518476,38.60,112,24,1,3,,2,3,4,1,2,3,,4,1,39.00,7.70,3,1,3,1,4108,0,0,1
2,1,518476,38.40,86,48,3,1,4,,1,3,1,2,1,,,2,38.00,,1,1,2,1,7177,7111,0,1
1,9,5305629,38.0,98,16,3,,3,2,2,3,1,,1,,3,3,37,7.70,,,3,2,2044,0,0,2
2,1,518476,,88,,1,3,4,1,,,3,,1,,1,,60.00,6.50,,,2,2,1045,0,0,2
1,1,518476,36.5,,25,3,3,4,1,5,4,1,1,,,1,,49.00,6.00,1,,1,1,4711,0,0,2
1,1,518476,38.6,108,88,1,,,1,2,1,3,1,,,,,52.00,8.50,1,,1,1,3404,0,0,2
2,1,518476,38.1,54,30,2,1,2,2,1,3,2,,,7.00,2,,39.00,56,,,2,2,934,0,0,1
1,1,518476,38.80,48,70,3,,1,2,4,2,1,,1,7.00,,4,44,7.10,,,1,1,681,0,0,2
1,1,518476,38.10,,32,,1,1,1,4,1,2,1,3,,,4,44.00,7.20,1,,1,2,1976,0,0,2
2,1,518476,38.5,40,24,,1,5,1,3,2,3,2,,,,2,58,7.2,2,,1,2,1086,0,0,2
1,1,518476,38.5,,,,1,,1,,3,,2,1,,3,5,37.00,50,,,1,1,4535,0,0,2
1,1,518476,37.00,80,,3,3,,2,5,4,1,1,3,2,3,5,37,6.60,2,2,1,2,1044,0,0,2
1,9,518476,38.10,,36,1,1,5,1,4,1,4,,1,,1,,49.00,6.70,,,1,1,2462,0,0,2
2,1,518476,38.1,40,24,1,1,1,,,3,2,2,3,,4,5,43.00,70,,,2,1,2785,0,0,2
1,1,518476,,68,24,1,1,5,2,5,3,4,2,1,,4,5,39.00,7.50,1,,1,1,1606,0,0,1
1,1,518476,40.30,72,16,3,,3,1,3,3,2,,1,,2,1,57.00,56,3,4.10,1,1,3402,0,0,2
1,1,518476,38.40,80,18,3,3,4,1,3,,1,2,,,,2,39.00,6.40,,,1,1,3327,0,0,2
2,1,518476,38.7,45,20,1,1,2,1,3,3,3,2,3,7.50,3,,35.00,5.90,3,,2,1,1825,0,0,2
1,9,518476,,52,,3,3,1,1,5,4,4,1,2,7.50,,,45.00,6.60,1,,1,1,6621,0,0,1
2,1,518476,38.2,40,28,3,1,4,1,4,,1,,1,,3,5,49,5.30,,,1,1,5213,0,0,1
